PART_REF,STUD_CHECK
64780p02.dat,0
t1010.dat,0
3626bpso.dat,1
u151.dat,0
22385p201.dat,0
4263304f.dat,0
6016.dat,0
3626bpq1.dat,1
t1004.dat,0
4182d0e.dat,1
3741ac05.dat,1
t1009k01.dat,0
4601.dat,0
65082p01.dat,0
3069bp50.dat,0
u9142p03c02.dat,0
4620857fc01.dat,0
191825a.dat,0
10051.dat,0
30381.dat,0
2516.dat,1
3069bpca.dat,0
46217.dat,0
4297022h.dat,0
40666.dat,0
80324.dat,0
44772c02.dat,0
825ap02.dat,1
87079p0f.dat,0
61071d01.dat,0
u9105.dat,0
15535p03.dat,0
55525.dat,1
50956p03.dat,1
1751.dat,0
31111p06.dat,0
50859ac01.dat,0
3626bps9.dat,1
98225.dat,0
72824.dat,0
4629.dat,0
6309ptc.dat,0
58773.dat,0
6309pug.dat,0
1745.dat,1
973pd7f.dat,0
91884p01.dat,1
t1038.dat,0
15673.dat,0
4182d03.dat,1
u9111.dat,0
38301p01c01.dat,0
13564.dat,0
22961.dat,0
3069bpc7.dat,0
3011pt4.dat,0
40882.dat,0
3068bpz0.dat,0
3634.dat,0
3068bp9w.dat,0
30632.dat,0
3068bp96.dat,0
004848b.dat,0
2454adq4.dat,1
32025.dat,1
821420a.dat,0
90484.dat,0
6148328awc01.dat,0
6637c01.dat,1
986.dat,0
76543b.dat,1
2431pzr.dat,0
3040ad02.dat,1
24121.dat,0
87846.dat,0
73200ps0.dat,0
2431pz3.dat,0
4162p1e.dat,0
30154.dat,0
6148328xc01.dat,0
30140.dat,1
45106p01.dat,0
992.dat,0
3626bp3e.dat,1
33449.dat,0
4162p0a.dat,0
80683.dat,1
32031.dat,0
2707p04.dat,0
u9363p02.dat,0
3004d0f.dat,1
5906.dat,0
30626.dat,0
6213p03.dat,1
3068bp82.dat,0
30350cdf0.dat,0
78886.dat,1
65141.dat,0
3822ps1.dat,1
170884b.dat,0
32019.dat,0
59826a.dat,0
165385b.dat,0
3004d14.dat,1
92198p08c01.dat,1
3387.dat,1
5090.dat,1
004219c.dat,0
30168.dat,1
2909c01.dat,0
80679p01.dat,0
85983c01.dat,1
2927.dat,0
3678bd01.dat,1
191485j.dat,0
35010.dat,1
3005pf0.dat,1
4162p1r.dat,0
4188571j.dat,0
762.dat,0
4286d08.dat,1
2431pze.dat,0
4162p13.dat,0
3626bp3r.dat,1
22578.dat,1
4162p0v.dat,0
3626bp33.dat,1
3626bp0i.dat,1
776.dat,0
65633.dat,1
4162p07.dat,0
3069bpw2.dat,0
3815c6v.dat,0
26078.dat,0
3004d00.dat,1
3228bc01.dat,1
2362bd01.dat,1
3068bp8d.dat,0
192375l.dat,0
13710g.dat,0
4586246b.dat,0
6062886b.dat,0
62809.dat,0
35789.dat,1
15459.dat,0
6200.dat,1
3626bph3.dat,1
22385p017.dat,0
50947d01.dat,0
10202p00.dat,0
3068bp55.dat,0
92250.dat,0
3081c.dat,1
3039pcj.dat,1
3069bpzc.dat,0
37365pdg9.dat,0
192685bc01.dat,0
54923c02.dat,1
16709p0b.dat,1
2700.dat,0
10247.dat,1
194535d.dat,0
2761c01.dat,1
u8025.dat,0
37720b.dat,0
24076p01.dat,0
789.dat,1
89664.dat,0
6572.dat,0
u8031.dat,0
98138p8i.dat,0
3010dm1.dat,1
765c01.dat,0
4622303a.dat,0
33299b.dat,0
3626cpceb.dat,1
71861.dat,0
11293c01.dat,1
u9140p02c01.dat,0
168365f.dat,0
30183.dat,1
2714.dat,0
3068bp41.dat,0
92244.dat,0
30367bps1.dat,1
2345p03.dat,1
6100p04.dat,1
3596d18.dat,0
16360pxh.dat,0
98138pn8.dat,0
u9449.dat,1
6214.dat,1
4740p02.dat,1
98088p02.dat,0
22385p003.dat,0
3068bp5c.dat,0
3068bp69.dat,0
95342p01.dat,0
24629p04.dat,0
003497h.dat,0
4211069.dat,0
u9461.dat,0
u8019.dat,0
15303.dat,0
979.dat,1
u9307.dat,1
3039p67.dat,1
191936e.dat,0
004452a.dat,0
3069bpz5.dat,0
3001pt1.dat,1
17514.dat,1
4638848h.dat,0
61482.dat,0
16709p04.dat,1
41752.dat,0
3039p73.dat,1
60637p01.dat,0
57539k01.dat,0
3436.dat,1
63864px1.dat,0
3626cpd69.dat,1
6005724a1.dat,0
004632b.dat,0
6643-f1.dat,0
2431pt8.dat,0
89658.dat,0
65676a.dat,0
15317.dat,0
u9313.dat,1
73092.dat,0
777p08.dat,0
98138pm4.dat,0
64288.dat,1
80686p02.dat,0
32181c04.dat,0
62821.dat,0
42529.dat,0
ms1049.dat,0
10509.dat,1
6142275l.dat,0
16178.dat,0
3596d24.dat,0
3350.dat,0
61480.dat,0
3815c8h.dat,0
41750.dat,1
16709p06.dat,1
26913.dat,1
4638848j.dat,0
3068bpc0.dat,0
3069bpz7.dat,0
004452c.dat,0
15301.dat,0
u9305.dat,1
4215ad0m.dat,1
6558.dat,0
13770.dat,0
2634c02.dat,1
22385p029.dat,0
3960p08.dat,1
u9463.dat,0
62837.dat,0
11601.dat,0
4429.dat,1
003497j.dat,0
3068bp5a.dat,0
206b.dat,0
3596d26.dat,0
77590.dat,0
3867p01.dat,1
u9477.dat,0
98138pm6.dat,0
15315.dat,0
93094p01.dat,0
73090.dat,1
u9311.dat,0
4622303t.dat,0
45522.dat,1
6005724a3.dat,0
2582pa0.dat,1
60637p03.dat,0
3039p71.dat,1
6564.dat,1
u8027.dat,0
4106593.dat,0
194535f.dat,0
30195.dat,1
2702.dat,0
3626cpd7i.dat,1
3069bpza.dat,0
37822.dat,0
3039pch.dat,1
3081a.dat,1
92252.dat,0
10202p02.dat,0
3068bp57.dat,0
22385p015.dat,0
3626bph1.dat,1
6202.dat,0
29cc01.dat,1
22385p001.dat,0
6216.dat,0
50231p01c01.dat,0
713b.dat,1
93094a.dat,0
194305e.dat,0
72632c01.dat,1
6142275y.dat,0
30367bps3.dat,1
2345p01.dat,1
92246.dat,0
6138629k.dat,0
2716.dat,0
30181.dat,1
168365d.dat,0
56204.dat,1
765c03.dat,0
4622303c.dat,0
60581d04.dat,1
195515a.dat,0
u8033.dat,0
11202p01c01.dat,0
4162p11.dat,0
2431pzg.dat,0
760.dat,0
4188571h.dat,0
3005pf2.dat,1
u9328ac01.dat,0
4162p1p.dat,0
191485h.dat,0
3626cpd8f.dat,1
80679p03.dat,0
004219a.dat,0
69779.dat,0
3068bp9b.dat,0
3385.dat,1
31512.dat,0
3817bpbe.dat,0
92198p08c03.dat,1
3430c02-f1.dat,1
59826c.dat,0
15068d01.dat,0
75350.dat,0
65143.dat,0
10312ps1.dat,0
92241p03c01.dat,0
98138pa5.dat,0
99244p02.dat,0
91968.dat,0
13710e.dat,0
71122.dat,0
3004d0s.dat,1
3068bp8f.dat,0
55981c05.dat,0
3062b.dat,1
3004d02.dat,1
60749.dat,0
3069bpw0.dat,0
4162p05.dat,0
774.dat,0
3626bp0k.dat,1
3626bp31.dat,1
6216d.dat,1
4162p0t.dat,0
2586ps1.dat,0
2919.dat,0
3127b.dat,1
85984d50.dat,0
11198.dat,0
30156.dat,1
79230.dat,0
26439-f2.dat,0
3840d02.dat,0
4162p1g.dat,0
4542886b.dat,0
2431pz1.dat,0
30350bp02.dat,0
2431pzp.dat,0
6442p01.dat,0
984.dat,0
3005p05.dat,1
821420c.dat,0
32027.dat,0
2454adq6.dat,1
3068bp94.dat,0
3815caw.dat,0
6213p01.dat,1
30624.dat,0
3068bp80.dat,0
3004d0d.dat,1
5904.dat,1
2707p06.dat,0
u9488.dat,0
64275.dat,0
30124bp04.dat,0
98138pb9.dat,0
12893p01.dat,0
4162p0c.dat,0
990.dat,1
87688.dat,0
18816.dat,0
71372k02.dat,0
6309pta.dat,0
49668.dat,1
3193a.dat,1
3144.dat,0
50956p01.dat,1
31111p04.dat,0
55527.dat,0
949ac01.dat,1
22977.dat,0
15535p01.dat,0
u9107.dat,0
15103.dat,0
u609.dat,1
73200pc67.dat,0
93084p04.dat,0
3622.dat,1
20461pd92.dat,0
76607c01.dat,0
33464p01.dat,0
4616559b.dat,0
3069bpb1.dat,0
20952p02.dat,1
